iter	Logloss
0	0.6854490553
1	0.6780023847
2	0.6708901542
3	0.6630010877
4	0.6563063485
5	0.6489653451
6	0.6421064104
7	0.6348605565
8	0.628074319
9	0.6202983311
10	0.6139924186
11	0.6062523978
12	0.6007034302
13	0.5944450378
14	0.5880323138
15	0.5821611132
16	0.5765075684
17	0.5697503771
18	0.5639750889
19	0.5575334821
20	0.5518976484
21	0.5470099313
22	0.5416447231
23	0.5356170654
24	0.5309515272
25	0.5261329651
26	0.5220757621
27	0.5170336042
28	0.5118597848
29	0.5071667807
30	0.5024692535
31	0.4977711269
32	0.4935836247
33	0.4893803188
34	0.484966823
35	0.4807023185
36	0.475907353
37	0.4720597403
38	0.4683174133
39	0.4642343794
40	0.4601490566
41	0.455842999
42	0.4518261228
43	0.4472580501
44	0.4435401917
45	0.4398862021
46	0.4364063263
47	0.433023262
48	0.4291022164
49	0.4247864314
50	0.4217199326
51	0.4180908748
52	0.4145081384
53	0.4106064388
54	0.4077320644
55	0.4048281533
56	0.4016685213
57	0.3982718331
58	0.3951623644
59	0.3920699528
60	0.3885795593
61	0.385950252
62	0.3831412179
63	0.3804049901
64	0.3773920332
65	0.3747708457
66	0.3720287868
67	0.3694356101
68	0.3670877184
69	0.3642121724
70	0.3617242268
71	0.3594327927
72	0.3570372718
73	0.3548912593
74	0.3528658458
75	0.3508347648
76	0.3483278819
77	0.3460381644
78	0.343623788
79	0.3415855135
80	0.3394737789
81	0.3374150957
82	0.3358885901
83	0.3336463928
84	0.3314379011
85	0.3294240134
86	0.3276938847
87	0.3259720394
88	0.3238437653
89	0.3220753261
90	0.3198641641
91	0.3179971967
92	0.316204725
93	0.3146154676
94	0.3133165087
95	0.3115448543
96	0.3098656518
97	0.3081939152
98	0.3069521768
99	0.3054350717
100	0.3037297658
101	0.3019378662
102	0.3002718244
103	0.2984931946
104	0.2969781603
105	0.2956678935
106	0.2942914963
107	0.2928549085
108	0.2913849149
109	0.2896729606
110	0.2883338383
111	0.2870448521
112	0.2856149946
113	0.2841382435
114	0.2830079487
115	0.2817564556
116	0.28020995
117	0.2790943146
118	0.2778124673
119	0.2765719822
120	0.2754841396
121	0.2741748265
122	0.2730361394
123	0.2717030661
124	0.2704843249
125	0.2691950117
126	0.268062864
127	0.2668325424
128	0.265662275
129	0.2645645142
130	0.263422421
131	0.2625146048
132	0.2615477153
133	0.2604010718
134	0.2594703402
135	0.2582689558
136	0.2573478154
137	0.2565563202
138	0.2557903017
139	0.2548239027
140	0.2539632525
141	0.2531367711
142	0.2521689279
143	0.2511956896
144	0.2502496992
145	0.2490565436
146	0.2482921055
147	0.2474067688
148	0.2465763092
149	0.245750836
150	0.2449553626
151	0.244190979
152	0.2433772768
153	0.2426487241
154	0.2420372827
155	0.2412409919
156	0.2403297424
157	0.2395617894
158	0.2387655531
159	0.2381571906
160	0.2374552046
161	0.2367500578
162	0.2358724322
163	0.2351986476
164	0.2345852443
165	0.2338502066
166	0.2331267766
167	0.2326001848
168	0.2319378989
169	0.2312461036
170	0.2305617741
171	0.2299807957
172	0.2292070934
173	0.2285890852
